;PROB_0;PROB_1;PRED
0;0.5822415947914124;0.41775840520858765;-1.0
1;0.6164928674697876;0.3835071623325348;-1.0
2;0.6950421333312988;0.30495786666870117;0.0
3;0.6471490263938904;0.3528509736061096;-1.0
4;0.6329501867294312;0.36704981327056885;-1.0
5;0.6375192403793335;0.3624807596206665;-1.0
6;0.598452091217041;0.40154793858528137;-1.0
7;0.6112630367279053;0.3887369632720947;-1.0
8;0.7649737000465393;0.2350263148546219;0.0
9;0.6829273104667664;0.31707268953323364;0.0
10;0.8030270934104919;0.19697292149066925;0.0
11;0.6677861213684082;0.3322139084339142;0.0
12;0.6608986854553223;0.3391013443470001;0.0
13;0.41654086112976074;0.5834591388702393;-1.0
14;0.4230470061302185;0.5769529938697815;-1.0
15;0.2976635694503784;0.7023364305496216;1.0
16;0.35594242811203003;0.64405757188797;1.0
17;0.582568883895874;0.41743114590644836;-1.0
18;0.5940978527069092;0.4059021770954132;-1.0
19;0.6569899320602417;0.3430100977420807;0.0
20;0.6859188079833984;0.31408122181892395;0.0
21;0.7046478986740112;0.2953520715236664;0.0
22;0.6182539463043213;0.3817460834980011;-1.0
23;0.5650059580802917;0.43499404191970825;-1.0
